problem,M,n,seed,group,HV,IGD+,runtime
dtlz1,2,20,56,smac3,0.24181678189910416,0.7071275889868572,180.63590216636658
dtlz1,2,20,57,smac3,0.7031248060595574,0.3562814525737212,180.6426899433136
dtlz1,2,20,57,baseline,0.23667743467926808,0.7123693070719004,181.0974841117859
dtlz1,2,20,56,dynamic,0.0,2.4762201218292668,186.34503364562988
dtlz1,2,20,58,baseline,1.0449806441610192,0.0135263701340958,181.3650300502777
dtlz1,2,20,57,dynamic,0.0,4.245060594458425,186.32489132881165
dtlz1,2,20,58,smac3,1.077144183490424,0.009949530725851426,180.291925907135
dtlz1,2,20,59,baseline,0.0,1.4289599293677158,178.64720749855042
dtlz1,2,20,59,smac3,1.0740995322586648,0.0014307643499423442,177.77235174179077
dtlz1,2,20,60,baseline,0.0,1.4184911709881844,177.8400001525879
dtlz1,2,20,58,dynamic,0.235085333920904,0.7132503152756212,184.2327859401703
dtlz1,2,20,59,dynamic,0.0,3.1822716412705065,183.6838092803955
dtlz1,2,20,60,smac3,0.018880280942082477,1.060469010623459,178.67864632606506
dtlz1,2,20,61,baseline,0.0,1.2280791263861033,180.15160608291626
dtlz1,2,20,60,dynamic,0.0,2.1241017176271346,186.92907691001892
dtlz1,2,20,61,smac3,0.6780321104200239,0.3735649231141355,181.0159673690796
dtlz1,2,20,62,baseline,0.6756561095402639,0.35864159212516983,181.48236966133118
dtlz1,2,20,62,smac3,1.0811093082260286,0.004535269848990627,182.31086659431458
dtlz1,2,20,61,dynamic,0.0,1.8020837169722594,187.3633005619049
dtlz1,2,20,63,baseline,0.0,1.767044527668007,181.11442923545837
dtlz1,2,20,62,dynamic,0.018898474111009988,1.060403169171161,186.99237656593323
dtlz1,2,20,63,smac3,0.7068918314700886,0.35363968964366244,181.98057389259338
dtlz1,2,20,64,baseline,0.016717494662935657,1.068257419653557,180.07703733444214
dtlz1,2,20,64,smac3,0.6671862348164301,0.38069098766484444,180.72949051856995
dtlz1,2,20,63,dynamic,0.0,2.837266024429257,184.8537335395813
dtlz1,2,20,65,baseline,0.0,1.769783786268735,181.18229293823242
dtlz1,2,20,64,dynamic,0.0,1.415869984069652,186.62131929397583
dtlz1,2,20,65,smac3,0.7010126082833786,0.3577366949541696,182.40355896949768
dtlz1,2,20,66,baseline,0.23777288041893618,0.7110430746461925,182.0613226890564
dtlz1,2,20,66,smac3,1.0829197001814506,0.001470808233879034,181.71390652656555
dtlz1,2,20,65,dynamic,0.0,1.767618478927457,187.32594871520996
dtlz1,2,20,67,baseline,0.22723579823989798,0.7187102111318102,181.96250581741333
dtlz1,2,20,67,smac3,0.7017373614493698,0.3572522885218705,182.10002374649048
dtlz1,2,20,66,dynamic,0.0,1.7669887826013966,188.2287199497223
dtlz1,2,20,67,dynamic,0.0,1.7682003664239518,186.08490014076233
dtlz1,2,20,68,baseline,0.0,2.1246938910348536,180.14599990844727
dtlz1,2,20,68,smac3,1.083737596286122,0.0008171600195201392,179.3017725944519
dtlz1,2,20,69,baseline,0.0,1.4155695126066337,178.50909805297852
dtlz1,2,20,68,dynamic,0.016533350171442515,1.069199969131804,185.309068441391
dtlz1,2,20,69,smac3,0.7030319893551962,0.35634625107564133,180.554851770401
dtlz1,2,20,69,dynamic,0.2301934928735204,0.7190346007004973,187.2741985321045
dtlz1,3,10,42,baseline,1.3066538353227526,2.6323598009334887e-05,141.9764802455902
dtlz1,3,10,42,smac3,1.3064401179035272,0.0010952611159358741,139.56370067596436
dtlz1,2,20,70,baseline,0.0,2.120396108639517,182.9554579257965
dtlz1,2,20,70,smac3,0.24160076967949703,0.7073465126774144,182.97605228424072
dtlz1,2,20,71,baseline,0.0,2.1225010260998447,183.25885272026062
dtlz1,2,20,71,smac3,0.6857189877508859,0.368287520058737,184.27409505844116
dtlz1,2,20,70,dynamic,0.01720087675847438,1.0666760078917172,189.83980798721313
dtlz1,2,20,71,dynamic,0.0,2.47820949147694,188.8481903076172
dtlz1,3,10,43,baseline,1.3065857233035998,0.00037668318378895546,139.78293108940125
dtlz1,3,10,43,smac3,1.306658061909872,2.7229395308639745e-05,138.96648168563843
dtlz1,3,10,42,dynamic,1.3056283169071985,0.00037656405246558604,142.89120411872864
dtlz1,3,10,43,dynamic,1.3062301773976832,0.002114798866240698,142.46539998054504
dtlz1,3,10,44,baseline,1.306650295768367,2.1703845782474824e-05,140.05610990524292
dtlz1,3,10,44,smac3,1.3066443835945365,9.687355537451414e-05,141.21744632720947
dtlz1,3,10,45,baseline,1.3066590590389437,2.3438373476182375e-05,140.38431859016418
dtlz1,3,10,44,dynamic,1.3066499498438597,3.6073446549838067e-05,146.53391575813293
dtlz1,3,10,45,smac3,1.3062181029934898,0.002175361796132172,141.40409350395203
dtlz1,3,10,45,dynamic,1.3045920759400556,0.00989427317046095,143.20164251327515
dtlz1,3,10,46,baseline,1.30662133556156,0.00018934971632014307,140.87041091918945
dtlz1,3,10,46,smac3,1.3066456109907425,9.211116322277037e-05,141.02200412750244
dtlz1,3,10,46,dynamic,1.3066425376424953,6.196516231403265e-05,143.66066694259644
dtlz1,3,10,47,baseline,1.3066540946028382,2.128959436944225e-05,140.71000790596008
dtlz1,3,10,47,smac3,1.306658304967252,1.4695599913002197e-05,138.4993097782135
dtlz1,3,10,47,dynamic,1.30664780023189,6.00847364085203e-05,140.91150736808777
dtlz1,3,10,48,baseline,1.3066193270454558,0.00021499565029359618,139.23198080062866
dtlz1,3,10,48,smac3,1.3066287878711964,0.0001669366123040807,138.18917059898376
dtlz1,3,10,48,dynamic,1.3060018621940785,0.0031857766956741203,141.96913123130798
dtlz1,3,10,49,baseline,1.3065793674802575,0.0003681867782589291,139.81330156326294
dtlz1,3,10,49,smac3,1.3066610177606415,1.964861808156329e-05,136.8319787979126
dtlz1,3,10,49,dynamic,1.3062959516768715,0.001801719526173946,141.20706820487976
dtlz1,3,10,50,baseline,1.3064880177085858,0.0008438865930554033,137.67069029808044
dtlz1,3,10,50,smac3,1.306620772063788,0.00021434124395983576,138.12309765815735
dtlz1,3,10,51,baseline,1.3061216097524098,0.002617450879509487,138.1450901031494
dtlz1,3,10,50,dynamic,1.3065874568196834,0.0003590806406021819,142.56910347938538
dtlz1,3,10,51,smac3,1.3065530208878,0.0005402690481992003,139.4498884677887
dtlz1,3,10,51,dynamic,1.306477395823925,0.000813199822174591,141.64683294296265
dtlz1,3,10,52,baseline,1.306593638863386,0.00023378237455284762,135.6194884777069
dtlz1,3,10,52,smac3,1.3066208114057631,0.0002140332631303811,135.10327792167664
dtlz1,3,10,52,dynamic,1.3052045073252994,0.001087523412284634,139.86895608901978
dtlz1,3,10,53,baseline,1.3066298295447112,4.093437834282684e-05,137.14648580551147
dtlz1,3,10,53,smac3,1.3066630115780162,8.136182513525004e-06,136.8159339427948
dtlz1,3,10,53,dynamic,1.3064594438192376,0.00016708353676141843,142.1222367286682
dtlz1,3,10,54,baseline,1.3066247867807135,0.0001606850348779001,137.54847955703735
dtlz1,3,10,54,smac3,1.3049136261544207,0.00842693030948015,139.32282543182373
dtlz1,3,10,54,dynamic,1.306623062656511,0.0001984542334079337,140.6717689037323
dtlz1,3,10,55,baseline,1.3063507543231045,0.00152750146741441,138.56869101524353
dtlz1,3,10,55,smac3,1.3066587392478022,2.2786297329892093e-05,139.0349805355072
dtlz1,3,10,55,dynamic,1.306390873942446,0.00013007734993973247,141.84287071228027
dtlz1,3,10,56,baseline,1.3066193106807722,0.00016393053060583855,139.43785977363586
dtlz1,3,10,56,smac3,1.306662537604198,9.715652461427638e-06,139.13752818107605
dtlz1,3,10,57,baseline,1.3066595010216928,1.4761858200897415e-05,135.63533449172974
dtlz1,3,10,56,dynamic,1.3065205268118616,0.0006400629289009891,139.08591771125793
dtlz1,3,10,57,smac3,1.3066643378970668,6.964287071277637e-06,137.18596816062927
dtlz1,3,10,57,dynamic,1.3056683310508612,0.004771202950331442,139.69462728500366
dtlz1,3,10,58,baseline,1.3066219999120285,0.00020295113090254338,136.7741413116455
dtlz1,3,10,58,smac3,1.3066515192903143,5.712769723488761e-05,138.09124541282654
dtlz1,3,10,58,dynamic,1.3066222743073683,0.00019921575202594077,142.28654670715332
dtlz1,3,10,59,baseline,1.3065987709716569,0.00031574378081722533,142.70239162445068
dtlz1,3,10,59,smac3,1.3066618746463055,1.0206717825531424e-05,140.33137965202332
dtlz1,3,10,59,dynamic,1.306633573386336,0.00010885077857863371,143.51399183273315
dtlz1,3,10,60,baseline,1.3066624820651267,1.20226044242245e-05,141.74737858772278
dtlz1,3,10,60,smac3,1.3066605875366841,1.296772013757104e-05,141.13213539123535
dtlz1,3,10,60,dynamic,1.306606794722703,0.00025543551835439265,144.06454634666443
dtlz1,3,10,61,baseline,1.3064739394626335,0.0009277894137096913,141.2509582042694
dtlz1,3,10,61,smac3,1.3066451564767505,8.280140706044757e-05,138.11601185798645
dtlz1,3,10,61,dynamic,1.306591711575786,0.00032629501044092947,141.39700508117676
dtlz1,3,10,62,baseline,1.3066547045034467,3.0295392771740097e-05,139.20563554763794
dtlz1,3,10,62,smac3,1.3065661188384738,0.0004705725191599834,139.26212430000305
dtlz1,3,10,62,dynamic,1.3064572958695564,0.0006164960408097007,141.96128606796265
dtlz1,3,10,63,baseline,1.306301994350172,0.0015218225010224659,142.34279322624207
dtlz1,3,10,63,smac3,1.3066549141506405,1.981343417358589e-05,137.69728589057922
dtlz1,3,10,63,dynamic,1.3062893700103415,0.0017552061908846727,144.22629284858704
dtlz1,3,10,64,baseline,1.3065775074182326,0.00040853765009906344,139.2977738380432
dtlz1,3,10,64,smac3,1.3066439051658478,0.00010427175369145822,139.0618188381195
dtlz1,3,10,65,baseline,1.306467849602323,0.0005011817806105926,139.0225055217743
dtlz1,3,10,64,dynamic,1.3065606523966409,0.0004831240261914156,142.5591950416565
dtlz1,3,10,65,smac3,1.3064300932676143,0.001155321026604645,139.9540958404541
dtlz1,3,10,66,baseline,1.3065725481987704,0.00039868469663326063,136.75064945220947
dtlz1,3,10,66,smac3,1.3061523300827382,0.0024942293060218057,136.4816038608551
dtlz1,3,10,65,dynamic,1.3058867672454548,0.0037077741075666774,143.4179286956787
dtlz1,3,10,66,dynamic,1.3066211697965027,7.948213899562684e-05,139.4014732837677
dtlz1,3,10,67,baseline,1.3066151461303144,0.00021476675670163576,136.16058945655823
dtlz1,3,10,67,smac3,1.306664117310587,5.224412024449172e-06,136.87140083312988
dtlz1,3,10,67,dynamic,1.3066370528245903,0.00010284037506424627,140.5087730884552
dtlz1,3,10,68,baseline,1.3066067515371573,0.00026939088423960026,134.43422770500183
dtlz1,3,10,68,smac3,1.3066598246643397,1.4930526396048278e-05,136.1948585510254
dtlz1,3,10,68,dynamic,1.3066483463075886,3.220209361302077e-05,137.45579290390015
dtlz1,3,10,69,baseline,1.3066191341026743,0.00021736569373465595,135.5132873058319
dtlz1,3,10,69,smac3,1.306664907223337,6.846387103054069e-06,135.80597376823425
dtlz1,3,10,69,dynamic,1.3056149446620426,0.005079368137747722,138.9430923461914
dtlz1,3,10,70,baseline,1.3066444969177193,9.951860724376565e-05,135.8095531463623
dtlz1,3,10,70,smac3,1.3066503037063337,6.45926356606649e-05,133.52285766601562
dtlz1,3,10,71,baseline,1.3066439215015417,4.722829447953956e-05,135.0563280582428
dtlz1,3,10,70,dynamic,1.3066022210781505,0.000283652311259669,136.8003213405609
dtlz1,3,10,71,smac3,1.30666468510573,5.56580080377578e-06,134.32954120635986
dtlz1,3,10,71,dynamic,1.3066040369983474,0.00023744947129202755,137.92402410507202
